,aircraft,airline_name,aisle_space_rating,author,author_country,cabin_flown,cabin_staff_rating,content,date,date_flown,food_beverages_rating,ground_service_rating,inflight_entertainment_rating,link,overall_rating,power_supply_rating,recommended,route,seat_comfort_rating,seat_layout,seat_legroom_rating,seat_recline_rating,seat_storage_rating,seat_width_rating,title,type_traveller,value_money_rating,viewing_tv_rating,wifi_connectivity_rating,negativereason_confidence,negativereason
259,,american-airlines,,I Yang,United States,Business Class,3.0,From LAX to PVG (Shanghai) the worst business class. Most of the flights to Asia have much better business seating. The middle row has three seats if you are in the middle of the middle row you must cross someone to get in and out. The seats configuration is old and looks very dark and unpleasant. Larger screen for movies but not very many good selections.,2015-04-03,,3.0,,1.0,/airline-reviews/american-airlines,2.0,,0,,1.0,,,,,,American Airlines customer review,,1.0,,,1.0182544378698224,General
260,,american-airlines,,Andrew Ashton,United Kingdom,Economy,1.0,AA are making a big thing about all the new planes they are buying. I flew from Heathrow to JFK 27th March on a really smart 777. That's where the complements end though. I have never flown with a worse cabin crew. They all wore different clothing as though they had turned up from home and not bothered to change. They were totally uncommunicative - amazingly not a word was spoken to us through the entire journey. One of the crew fell asleep in a seat at the back of the cabin. Food was served as though they were doing us a favour and just dropped in front of us without a word there was not a friendly smile between them. One of the crew was not tall enough to close the overhead lockers. I cannot believe AA are spending so much on renewing their fleet yet seem totally unconcerned that their staff are behaving in this way. I flew back on BA - a fabulous crew who worked their socks off for the customers what a contrast!,2015-04-03,,2.0,,4.0,/airline-reviews/american-airlines,3.0,,0,,2.0,,,,,,American Airlines customer review,,2.0,,,0.9710531655844156,Flight Attendant
261,,american-airlines,,Eric Poole,United States,Economy,2.0,AA flight 397 on March 25th. The first leg of our trip was delayed so we arrived at the gate 7 minutes before the flight was to take off. We had notified the gate agents that we were on the way to the flight but they shut the door in our face and would not let us board. We found out they had overbooked the flight by 50 seats. On the next flight we watched as friends of the gate agents boarded on standby while the rest of us were bumped > again. No gate agents seemed interested in helping us get home. We eventually had to rent a car and drive home since American Airlines would not give us a seat on any flight to get home. An extra $100 and 10 hours delayed we arrived home.,2015-04-01,,3.0,,2.0,/airline-reviews/american-airlines,3.0,,0,,3.0,,,,,,American Airlines customer review,,2.0,,,0.9,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems
262,,american-airlines,,M J Downey,United Kingdom,Business Class,5.0,LHR to MIA Business Class. The plane was one of the older 777-200 with 2-3-2 seating meaning that the person in the middle always had to disturb someone to get out. The seat was ok but not really a true flat bed. The VOD was patchy in that on two of the films I watched there was something wrong with the display so I had to stop it and restart it. The food was very nice - my steak was delicious. Cabin crew were all very friendly and accommodating.,2015-03-29,,5.0,,3.0,/airline-reviews/american-airlines,6.0,,0,,3.0,,,,,,American Airlines customer review,,4.0,,,0.7517592592592592,Food
263,,american-airlines,,M J Downey,United Kingdom,Business Class,5.0,LHR to MIA Business Class. The plane was one of the older 777-200 with 2-3-2 seating meaning that the person in the middle always had to disturb someone to get out. The seat was ok but not really a true flat bed. The VOD was patchy in that on two of the films I watched there was something wrong with the display so I had to stop it and restart it. The food was very nice - my steak was delicious. Cabin crew were all very friendly and accommodating.,2015-03-29,,5.0,,3.0,/airline-reviews/american-airlines,6.0,,0,,3.0,,,,,,American Airlines customer review,,4.0,,,0.7517592592592592,Food
264,,american-airlines,,M J Downey,United Kingdom,Business Class,5.0,LHR to MIA Business Class. The plane was one of the older 777-200 with 2-3-2 seating meaning that the person in the middle always had to disturb someone to get out. The seat was ok but not really a true flat bed. The VOD was patchy in that on two of the films I watched there was something wrong with the display so I had to stop it and restart it. The food was very nice - my steak was delicious. Cabin crew were all very friendly and accommodating.,2015-03-29,,5.0,,3.0,/airline-reviews/american-airlines,6.0,,0,,3.0,,,,,,American Airlines customer review,,4.0,,,0.7517592592592592,Food
265,,american-airlines,,L Carling,United Kingdom,Business Class,4.0,Travelled with AA February 2015 LHR-MIA return flight out older plane - adequate for a day flight. Thankfully new plane with fully lie flat bed. On return excellent service from cabin staff food also beyond expectations.,2015-03-28,,5.0,,5.0,/airline-reviews/american-airlines,5.0,,1,,4.0,,,,,,American Airlines customer review,,4.0,,,0.6777272727272727,Food
266,,american-airlines,,G Chaplin,United Kingdom,Economy,1.0,I flew Manchester to JFK and return with AA. On arrival at Manchester the airline staff quizzed us in detail about where else we usually travelled to why we were going to the States what jobs we did. This took about 10 minutes. Check in was via a machine designed to make AA a staff saving however it did nothing for their customers most of whom were frustrated at its inability to work. The whole crew were late and ran through the airport together to take up their posts. Did this account for them not checking whether the passengers had on their seat belts or arm rests in the correct position? Apparently not as it was exactly the same on the return flight. The safety video could not be viewed by passengers seated by the window due to the low overhead and central hanging videos. Did the crew have a uniform? They all dressed differently some wore extensive amounts of jewellery and chewed gum others had not even combed or tidied their hair. All were markedly scruffy compared to every other airline I have ever flown with. More worrying was that none of the crew advised passengers to remain seated when the seat belt light was lit and passengers proceeded to walk around the cabin throughout the flight. Or maybe it was the Captain's error in not turning the light off at all. Who knows whether we even had a Captain as on the out flight no announcements were even made! Not impressive on safety at all. Lets face it food comfort etc are also important but if an airline fails on basic safety the rest pales to insignificance.,2015-03-28,,2.0,,1.0,/airline-reviews/american-airlines,1.0,,0,,1.0,,,,,,American Airlines customer review,,1.0,,,0.9852272727272727,Food
267,,american-airlines,,Kay Molen,United States,Economy,1.0,I have the time to write this review due to the third delay I've had with this airline. Not a single good thing I can say about my experience with American. I have flown Southwest Delta Jetblue Frontier and this is by far the worst airline I have flown. We had an hour and a half delay the first flight plus an emergency situation so we missed our connecting flight which has never happened to me. They supplied us with the worst hotel overnight. It wasn't just us that missed our flight 5 other families on separate ones missed theirs too. Then the flight the next day got delayed 30 minutes! So our three day trip turned into one day from all the delays and missed flights. Finally heading home and they announce mechanical problems with the plane. So now the flight is delayed 2 hours and we are missing our connecting flight to Salt Lake. So we get to board on a 6 pm flight but let's not kid ourselves that'll be delayed too so probably 7. And then it's a 4.5 hour flight so I'll be getting home at 2am. Other airlines can figure it out so please do to and spare us all the pain and frustration.,2015-03-25,,1.0,,1.0,/airline-reviews/american-airlines,1.0,,0,,2.0,,,,,,American Airlines customer review,,1.0,,,1.1103968253968255,General
268,,american-airlines,,Kay Molen,United States,Economy,1.0,I have the time to write this review due to the third delay I've had with this airline. Not a single good thing I can say about my experience with American. I have flown Southwest Delta Jetblue Frontier and this is by far the worst airline I have flown. We had an hour and a half delay the first flight plus an emergency situation so we missed our connecting flight which has never happened to me. They supplied us with the worst hotel overnight. It wasn't just us that missed our flight 5 other families on separate ones missed theirs too. Then the flight the next day got delayed 30 minutes! So our three day trip turned into one day from all the delays and missed flights. Finally heading home and they announce mechanical problems with the plane. So now the flight is delayed 2 hours and we are missing our connecting flight to Salt Lake. So we get to board on a 6 pm flight but let's not kid ourselves that'll be delayed too so probably 7. And then it's a 4.5 hour flight so I'll be getting home at 2am. Other airlines can figure it out so please do to and spare us all the pain and frustration.,2015-03-25,,1.0,,1.0,/airline-reviews/american-airlines,1.0,,0,,2.0,,,,,,American Airlines customer review,,1.0,,,1.1103968253968255,General
269,,american-airlines,,B Robinson,United States,Economy,4.0,"Due to a booking snafu (which may have been of my making) and the flight being oversold our non-stop return flight LHR-RDU was unavailable. The courteous and helpful ticket desk staff re-booked our free ticket LHR-JFK-RDU. We were told with great pride that the transatlantic portion would be aboard AA's new flagship 777-300ER. I applaud AA as being the only U.S. airline to give it's customers the opportunity to ride the latest and finest of American ingenuity technology and manufacturing excellence. It did strike me however that AA may have commissioned a ""lite"" version of the plane as it was missing some of the bells and whistles I had seen on some foreign carriers (wood floors mood lighting etc). Overall the economy interior can best be described as bland. On the plus side mammoth overhead bins decent seats great ride and as good an in flight entertainment system as you'll find anywhere in coach. Watched three excellent first run movies. All we need now is some edible food and AA will have caught up with BA and VS. However as a word of caution to those flying from the US to the UK on AA be aware of the aircraft type when you make your booking. In addition to the new AA Flagship 777-300 the airline also flies the 777-200 which is getting along in age the venerable 767-300 and the 757-200 which in my opinion is not at all suited to Transatlantic travel.",2015-03-23,,1.0,,5.0,/airline-reviews/american-airlines,8.0,,1,,4.0,,,,,,American Airlines customer review,,5.0,,,0.6938636363636363,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Food
270,,american-airlines,,B Robinson,United States,Economy,4.0,"Due to a booking snafu (which may have been of my making) and the flight being oversold our non-stop return flight LHR-RDU was unavailable. The courteous and helpful ticket desk staff re-booked our free ticket LHR-JFK-RDU. We were told with great pride that the transatlantic portion would be aboard AA's new flagship 777-300ER. I applaud AA as being the only U.S. airline to give it's customers the opportunity to ride the latest and finest of American ingenuity technology and manufacturing excellence. It did strike me however that AA may have commissioned a ""lite"" version of the plane as it was missing some of the bells and whistles I had seen on some foreign carriers (wood floors mood lighting etc). Overall the economy interior can best be described as bland. On the plus side mammoth overhead bins decent seats great ride and as good an in flight entertainment system as you'll find anywhere in coach. Watched three excellent first run movies. All we need now is some edible food and AA will have caught up with BA and VS. However as a word of caution to those flying from the US to the UK on AA be aware of the aircraft type when you make your booking. In addition to the new AA Flagship 777-300 the airline also flies the 777-200 which is getting along in age the venerable 767-300 and the 757-200 which in my opinion is not at all suited to Transatlantic travel.",2015-03-23,,1.0,,5.0,/airline-reviews/american-airlines,8.0,,1,,4.0,,,,,,American Airlines customer review,,5.0,,,0.6938636363636363,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Food
271,,american-airlines,,B Robinson,United States,Economy,4.0,"Due to a booking snafu (which may have been of my making) and the flight being oversold our non-stop return flight LHR-RDU was unavailable. The courteous and helpful ticket desk staff re-booked our free ticket LHR-JFK-RDU. We were told with great pride that the transatlantic portion would be aboard AA's new flagship 777-300ER. I applaud AA as being the only U.S. airline to give it's customers the opportunity to ride the latest and finest of American ingenuity technology and manufacturing excellence. It did strike me however that AA may have commissioned a ""lite"" version of the plane as it was missing some of the bells and whistles I had seen on some foreign carriers (wood floors mood lighting etc). Overall the economy interior can best be described as bland. On the plus side mammoth overhead bins decent seats great ride and as good an in flight entertainment system as you'll find anywhere in coach. Watched three excellent first run movies. All we need now is some edible food and AA will have caught up with BA and VS. However as a word of caution to those flying from the US to the UK on AA be aware of the aircraft type when you make your booking. In addition to the new AA Flagship 777-300 the airline also flies the 777-200 which is getting along in age the venerable 767-300 and the 757-200 which in my opinion is not at all suited to Transatlantic travel.",2015-03-23,,1.0,,5.0,/airline-reviews/american-airlines,8.0,,1,,4.0,,,,,,American Airlines customer review,,5.0,,,0.6938636363636363,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Food
272,,american-airlines,,R Chalmers,United States,Economy,3.0,New York (JFK) to Antigua during the very bad snow on the US East Coast. Early morning departure was going well until we reached the gate and found that a problem with a burst pipe meant no baggage could be loaded. However assume this was a knock on from the weather conditions. We were kept relatively well informed about delay which extended to around 3 hrs. However the anticipation of arriving in 85 degrees warmth mitigated the delay. Service on aircraft was fine. We had seats with extra leg room. Inflight entertainment ok. Only soft drinks were free. We had an egg sandwich which was OK. Flight back was also delayed slightly but made up time to arrive near to scheduled time. No queue at immigration. However all this came to nought due to baggage problem at aircraft which meant we waited an hour for bags to arrive. No complaints about flight crew either way - clearly not as customer focused as Non US airlines but efficient.,2015-03-20,,3.0,,3.0,/airline-reviews/american-airlines,8.0,,1,,4.0,,,,,,American Airlines customer review,,4.0,,,0.9374147727272727,General
273,,american-airlines,,R Chalmers,United States,Economy,3.0,New York (JFK) to Antigua during the very bad snow on the US East Coast. Early morning departure was going well until we reached the gate and found that a problem with a burst pipe meant no baggage could be loaded. However assume this was a knock on from the weather conditions. We were kept relatively well informed about delay which extended to around 3 hrs. However the anticipation of arriving in 85 degrees warmth mitigated the delay. Service on aircraft was fine. We had seats with extra leg room. Inflight entertainment ok. Only soft drinks were free. We had an egg sandwich which was OK. Flight back was also delayed slightly but made up time to arrive near to scheduled time. No queue at immigration. However all this came to nought due to baggage problem at aircraft which meant we waited an hour for bags to arrive. No complaints about flight crew either way - clearly not as customer focused as Non US airlines but efficient.,2015-03-20,,3.0,,3.0,/airline-reviews/american-airlines,8.0,,1,,4.0,,,,,,American Airlines customer review,,4.0,,,0.9374147727272727,General
274,,american-airlines,,B Robinson,United States,Economy,3.0,Flew RDU-LHR on a free economy ticket. I prefer other airlines but the RDU-LHR non-stop convenience trumps all. It also gives me the opportunity to judge the progress of the AA/USAir merger. On the downside the venerable 767-300 is one year older (27 years and counting) still has the mail slot overhead storage bins the ancient hanging screen entertainment and the excruciatingly uncomfortable seats. I did notice that this old warhorse had been updated with blended winglets to save money which I'm certain they pass along to those paying for tickets. On board the hot breakfast croissant has been replaced with a box of sugar laden treats and the dinner has regressed from merely uninteresting to inedible. The flight attendants are excellent given what they have to work with - even giving up their crew rest seats to accommodate the spring breakers who made this a 100% full flight. On the plus side a current movie that I had considered paying to see (Whiplash) swift check-in and 45 minutes early into LHR. AA doesn't seem challenged to upgrade their transatlantic game but unless you're flying from RDU there must be a better option to get from the U.S. to the UK.,2015-03-18,,1.0,,1.0,/airline-reviews/american-airlines,3.0,,1,,2.0,,,,,,American Airlines customer review,,5.0,,,0.8995748299319728,Food/Flight Attendant
275,,american-airlines,,D Varley,United Kingdom,Economy,2.0,Flew JFK to Manchester. First disaster came when checking in for flight to be told as a group of 6 we couldn't be seated together. Then it got worse as we couldn't be sat as couples unless we paid $260.00 per couple. Once on board we were sat apart. The cabin crew were at best unkempt and rude. The meal we were served was awful. Only 1 toilet was working for the full economy cabin on a 757 this is not good on a 6 hour flight. Overall a disappointing experience and will not fly on American again.,2015-03-18,,2.0,,2.0,/airline-reviews/american-airlines,4.0,,0,,3.0,,,,,,American Airlines customer review,,3.0,,,1.1141025641025641,Food/Flight Attendant
276,,american-airlines,,D Varley,United Kingdom,Economy,2.0,Flew JFK to Manchester. First disaster came when checking in for flight to be told as a group of 6 we couldn't be seated together. Then it got worse as we couldn't be sat as couples unless we paid $260.00 per couple. Once on board we were sat apart. The cabin crew were at best unkempt and rude. The meal we were served was awful. Only 1 toilet was working for the full economy cabin on a 757 this is not good on a 6 hour flight. Overall a disappointing experience and will not fly on American again.,2015-03-18,,2.0,,2.0,/airline-reviews/american-airlines,4.0,,0,,3.0,,,,,,American Airlines customer review,,3.0,,,1.1141025641025641,Food/Flight Attendant
277,,american-airlines,,S Pereira,United States,First Class,5.0,AA 280 ICN to DFW. Was flying with an economy ticket got an upgrade to business kind of last minute. Aboard as my husband was flying in first class (empty cabin) the purser invited me to join him. What a difference it makes. So glad for the double upgrade in the same flight. Service was good purser was friendly service oriented and professional. The 777-200 is showing its age but the first class suite is still very comfortable.,2015-03-18,,4.0,,4.0,/airline-reviews/american-airlines,9.0,,1,,5.0,,,,,,American Airlines customer review,,5.0,,,0.7337499999999999,General
278,,american-airlines,,S Pereira,United States,First Class,5.0,AA 280 ICN to DFW. Was flying with an economy ticket got an upgrade to business kind of last minute. Aboard as my husband was flying in first class (empty cabin) the purser invited me to join him. What a difference it makes. So glad for the double upgrade in the same flight. Service was good purser was friendly service oriented and professional. The 777-200 is showing its age but the first class suite is still very comfortable.,2015-03-18,,4.0,,4.0,/airline-reviews/american-airlines,9.0,,1,,5.0,,,,,,American Airlines customer review,,5.0,,,0.7337499999999999,General
279,,american-airlines,,S Pereira,United States,First Class,5.0,AA 280 ICN to DFW. Was flying with an economy ticket got an upgrade to business kind of last minute. Aboard as my husband was flying in first class (empty cabin) the purser invited me to join him. What a difference it makes. So glad for the double upgrade in the same flight. Service was good purser was friendly service oriented and professional. The 777-200 is showing its age but the first class suite is still very comfortable.,2015-03-18,,4.0,,4.0,/airline-reviews/american-airlines,9.0,,1,,5.0,,,,,,American Airlines customer review,,5.0,,,0.7337499999999999,General
280,,american-airlines,,A Goddard,United Kingdom,Economy,2.0,London - Miami Return January 2015 (Boeing 777). I could only choose where I wanted to sit 24 hrs before my flight which was fine as most airlines have that policy but what really threw me back was that all aisle and window seats cost an extra $69 - $100 each way depending where the seat was located! You have to pay extra for an aisle seat at the back of the plane on a 10hr transatlantic flight? This is not easyjet or Ryanair for goodness sake! The so called cheap flight on a major airline was not so cheap after all as they were already nickel and diming before getting off the ground. I refused to pay and went for a free middle seat which I loath I have wide shoulders and have to hunch inwards my plan was to arrive early and hope the check-in desk could sort me out with an aisle seat which they were able to do but that is where the Customer satisfaction stopped.) Plane was on time and boarding was reasonably quick and I was perched in my aisle seat which was very narrow I also noticed many people getting their roller cases stuck in the aisles as they tried to roll them down but it turns out that in an effort to squeeze an extra seat in each row American Airlines compromised with narrower seats and aisles. In the air nightmare #1 The narrow aisle caused one particular cabin crew to bump the trolley into my shoulder or elbow without even so much as an apology. #2 You get free beer and wine but the entire cabin ran out beer and white wine before the first drinks trolley finished its first pass. #3 The plane was old and the only movies available played at set times (not on demand) that's right 2015 with 90s technology - AA may have painted their planes but they are still old and nasty inside. Worst of all it was the same experience on the return leg mercifully the flight was 60 mins less - A truly awful transatlantic flight!,2015-03-17,,1.0,,2.0,/airline-reviews/american-airlines,2.0,,0,,1.0,,,,,,American Airlines customer review,,1.0,,,0.9479335317460318,Flight Attendant
281,,american-airlines,,B Waldron,United States,Economy,1.0,Flying home from Rochester NY to Los Angeles CA I had to change planes in Chicago. Our flight from Rochester landed with plenty of time to make the connecting flight. One problem is that we had to park on the tarmac for one and a half hours. Another plane was occupying the gate. When we reached the gate it took the employees forever to bring up the valeted bags. I missed the connecting flight and it was late in the evening so there wasn't any available flights. I asked about other airlines in the morning and was told nothing was available. I was given stand-by for AA in the morning and if I didn't make that then an 8.05 pm flight was booked for me. AA wouldn't pay for a hotel room so I was on my own. Once I got to a hotel and started my computer I found a United and Virgin America flight for the morning. Of course it cost me more money but I had a meeting the next day and couldn't risk the stand-by status. What a difference dealing with Virgin America customer service over American Airlines. I will only use AA as a last resort in my future trips. American couldn't tell me how many people were on stand-by for the morning flight so I could evaluate my chance of boarding.,2015-03-17,,2.0,,2.0,/airline-reviews/american-airlines,1.0,,0,,2.0,,,,,,American Airlines customer review,,1.0,,,0.8708333333333333,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems
282,,american-airlines,,B Waldron,United States,Economy,1.0,Flying home from Rochester NY to Los Angeles CA I had to change planes in Chicago. Our flight from Rochester landed with plenty of time to make the connecting flight. One problem is that we had to park on the tarmac for one and a half hours. Another plane was occupying the gate. When we reached the gate it took the employees forever to bring up the valeted bags. I missed the connecting flight and it was late in the evening so there wasn't any available flights. I asked about other airlines in the morning and was told nothing was available. I was given stand-by for AA in the morning and if I didn't make that then an 8.05 pm flight was booked for me. AA wouldn't pay for a hotel room so I was on my own. Once I got to a hotel and started my computer I found a United and Virgin America flight for the morning. Of course it cost me more money but I had a meeting the next day and couldn't risk the stand-by status. What a difference dealing with Virgin America customer service over American Airlines. I will only use AA as a last resort in my future trips. American couldn't tell me how many people were on stand-by for the morning flight so I could evaluate my chance of boarding.,2015-03-17,,2.0,,2.0,/airline-reviews/american-airlines,1.0,,0,,2.0,,,,,,American Airlines customer review,,1.0,,,0.8708333333333333,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems
283,,american-airlines,,B Waldron,United States,Economy,1.0,Flying home from Rochester NY to Los Angeles CA I had to change planes in Chicago. Our flight from Rochester landed with plenty of time to make the connecting flight. One problem is that we had to park on the tarmac for one and a half hours. Another plane was occupying the gate. When we reached the gate it took the employees forever to bring up the valeted bags. I missed the connecting flight and it was late in the evening so there wasn't any available flights. I asked about other airlines in the morning and was told nothing was available. I was given stand-by for AA in the morning and if I didn't make that then an 8.05 pm flight was booked for me. AA wouldn't pay for a hotel room so I was on my own. Once I got to a hotel and started my computer I found a United and Virgin America flight for the morning. Of course it cost me more money but I had a meeting the next day and couldn't risk the stand-by status. What a difference dealing with Virgin America customer service over American Airlines. I will only use AA as a last resort in my future trips. American couldn't tell me how many people were on stand-by for the morning flight so I could evaluate my chance of boarding.,2015-03-17,,2.0,,2.0,/airline-reviews/american-airlines,1.0,,0,,2.0,,,,,,American Airlines customer review,,1.0,,,0.8708333333333333,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems
284,,american-airlines,,Jezrel Sabaduquia,United States,First Class,5.0,JFK-MIA-JFK. Priority check-in at JFK was awful. The AA staff were absolutely rude and unhelpful to the point that she was yelling. It was an appalling experience. Things got better on-board first leg on a newly configured 767 as a last minute equipment change. The new First Class seats are extremely comfortable. There were tons of storage space and it went completely flat. Flight attendants on this flight were very friendly pro-active and interactive. Breakfast was delicious and creative. Overall an absolutely delightful flight the new cabin is gorgeous. Return flight in Main Cabin Extra and this time ground staff in MIA was much friendlier than JFK. Exit row seats were comfortable and entertainment options were decent. Overall another great experience with AA despite the bad impression at JFK.,2015-03-17,,5.0,,4.0,/airline-reviews/american-airlines,9.0,,1,,5.0,,,,,,American Airlines customer review,,5.0,,,0.8132721445221445,General
285,,american-airlines,,Jezrel Sabaduquia,United States,First Class,5.0,JFK-MIA-JFK. Priority check-in at JFK was awful. The AA staff were absolutely rude and unhelpful to the point that she was yelling. It was an appalling experience. Things got better on-board first leg on a newly configured 767 as a last minute equipment change. The new First Class seats are extremely comfortable. There were tons of storage space and it went completely flat. Flight attendants on this flight were very friendly pro-active and interactive. Breakfast was delicious and creative. Overall an absolutely delightful flight the new cabin is gorgeous. Return flight in Main Cabin Extra and this time ground staff in MIA was much friendlier than JFK. Exit row seats were comfortable and entertainment options were decent. Overall another great experience with AA despite the bad impression at JFK.,2015-03-17,,5.0,,4.0,/airline-reviews/american-airlines,9.0,,1,,5.0,,,,,,American Airlines customer review,,5.0,,,0.8132721445221445,General
286,,american-airlines,,L Banks,United States,Premium Economy,1.0,What is the point in paying extra for Priority when the seats are still the same size? Not to mention the overhead bins are not full yet you made me check my one carry-on. This is ridiculous. I planned ahead and packed lightly so I could use a small carry bag. I have an appointment when I land and cannot wait for Baggage Claim. What should have been offered was Priority Baggage PickUp. These items should come off the plane first and be stowed with strollers or other items along with First Class baggage. I will avoid this airline at all costs going forward.,2015-03-17,,1.0,,1.0,/airline-reviews/american-airlines,1.0,,0,,1.0,,,,,,American Airlines customer review,,1.0,,,0.9981481481481481,General
287,,american-airlines,,L Banks,United States,Premium Economy,1.0,What is the point in paying extra for Priority when the seats are still the same size? Not to mention the overhead bins are not full yet you made me check my one carry-on. This is ridiculous. I planned ahead and packed lightly so I could use a small carry bag. I have an appointment when I land and cannot wait for Baggage Claim. What should have been offered was Priority Baggage PickUp. These items should come off the plane first and be stowed with strollers or other items along with First Class baggage. I will avoid this airline at all costs going forward.,2015-03-17,,1.0,,1.0,/airline-reviews/american-airlines,1.0,,0,,1.0,,,,,,American Airlines customer review,,1.0,,,0.9981481481481481,General
288,,american-airlines,,H J Klomp,Germany,Economy,1.0,DUS-ORD-Tampa-LAX-ORD-DUS. We fly on European carriers quite often - but American Airlines have made an art of employing non caring - ignorant and unfriendly staff. I have never encountered such condescending flight attendants - and such arrogance. We flew from Dusseldorf to Chicago as first leg. The seat allocation was a disaster at the airport - my wife was in a middle seat 6 rows behind me. When we asked the check in crew to change it - we were told to take care of it at the gate at the gate we were told to sort it with the cabin crew and the cabin crew? Not our problem - you should have taken care of it before boarding - end of interest. Only after I really got angry - and walked off the plane - telling them to get my luggage off - a steward from the front end of the plane got involved and shuffled people around so we could sit together. Our friendly stewardess then managed to ignore us for the whole trip. Second leg - we were on the last row of an ancient DC9 - with the galley next to us and a toilet door that would not close properly. Return trip uneventful - but one thing is certain - never again American.,2015-03-17,,1.0,,1.0,/airline-reviews/american-airlines,1.0,,0,,1.0,,,,,,American Airlines customer review,,1.0,,,0.9447023809523809,Flight Attendant
289,,american-airlines,,H J Klomp,Germany,Economy,1.0,DUS-ORD-Tampa-LAX-ORD-DUS. We fly on European carriers quite often - but American Airlines have made an art of employing non caring - ignorant and unfriendly staff. I have never encountered such condescending flight attendants - and such arrogance. We flew from Dusseldorf to Chicago as first leg. The seat allocation was a disaster at the airport - my wife was in a middle seat 6 rows behind me. When we asked the check in crew to change it - we were told to take care of it at the gate at the gate we were told to sort it with the cabin crew and the cabin crew? Not our problem - you should have taken care of it before boarding - end of interest. Only after I really got angry - and walked off the plane - telling them to get my luggage off - a steward from the front end of the plane got involved and shuffled people around so we could sit together. Our friendly stewardess then managed to ignore us for the whole trip. Second leg - we were on the last row of an ancient DC9 - with the galley next to us and a toilet door that would not close properly. Return trip uneventful - but one thing is certain - never again American.,2015-03-17,,1.0,,1.0,/airline-reviews/american-airlines,1.0,,0,,1.0,,,,,,American Airlines customer review,,1.0,,,0.9447023809523809,Flight Attendant
290,,american-airlines,,H Rode,Germany,Business Class,2.0,AA78 DFW-LHR March 6 2015. What a disappointing flight on one of AA's ancient 777-200 cabin feels more like a prison cell than business class. Seats in 2-3-2 configuration (haven't had this for 15 years now). Instead of lie- flat seats they still offer lie in s-style and be careful not to slip down to the floor while you sleep. Stewardess climbing over me to cut off the way she had to walk. Food was disappointing as well. Only highlight was the wine selection that was a little bit better than ok. No way that I will use AA again.,2015-03-17,,2.0,,1.0,/airline-reviews/american-airlines,1.0,,0,,1.0,,,,,,American Airlines customer review,,1.0,,,1.0168055555555555,General
291,,american-airlines,,H Rode,Germany,Business Class,2.0,AA78 DFW-LHR March 6 2015. What a disappointing flight on one of AA's ancient 777-200 cabin feels more like a prison cell than business class. Seats in 2-3-2 configuration (haven't had this for 15 years now). Instead of lie- flat seats they still offer lie in s-style and be careful not to slip down to the floor while you sleep. Stewardess climbing over me to cut off the way she had to walk. Food was disappointing as well. Only highlight was the wine selection that was a little bit better than ok. No way that I will use AA again.,2015-03-17,,2.0,,1.0,/airline-reviews/american-airlines,1.0,,0,,1.0,,,,,,American Airlines customer review,,1.0,,,1.0168055555555555,General
292,,american-airlines,,A Storey,United States,First Class,5.0,DFW-LHR in B773. Not sure what other people want but I got what I expected. Good steak for dinner accompanied with a nice Pinot Noir form New Zealand seat turns into a comfortable bed IFE is excellent flight attendants had right mix of anticipating what you need and leaving you in peace. on the down side overhead bin space is limited compared to Business cabin.,2015-03-17,,4.0,,5.0,/airline-reviews/american-airlines,9.0,,1,,5.0,,,,,,American Airlines customer review,,4.0,,,0.7799914731732913,Flight Attendant
293,,american-airlines,,A Storey,United States,First Class,5.0,DFW-LHR in B773. Not sure what other people want but I got what I expected. Good steak for dinner accompanied with a nice Pinot Noir form New Zealand seat turns into a comfortable bed IFE is excellent flight attendants had right mix of anticipating what you need and leaving you in peace. on the down side overhead bin space is limited compared to Business cabin.,2015-03-17,,4.0,,5.0,/airline-reviews/american-airlines,9.0,,1,,5.0,,,,,,American Airlines customer review,,4.0,,,0.7799914731732913,Flight Attendant
